fecha;resultadok;Lote;Talla
15/10/2022;50.18;2218PC-80024C;36-40
15/10/2022;52.32;2218PC-80025C;31-35
10/10/2022;54.45;2219PC-07194E;70-80
20/10/2022;99.29;2219PC-800210C;36-40
20/10/2022;85.41;2219PC-800212C;36-40
18/10/2022;64.06;2219PC-80024C;61-70
18/10/2022;53.38;2219PC-80025C;91-110
18/10/2022;56.59;2219PC-80026C;36-40
19/10/2022;67.26;2219PC-80027C;36-40
19/10/2022;83.28;2219PC-80028C;31-35
19/10/2022;60.86;2219PC-80029C;36-40
16/10/2022;9.61;2220PC-00491C;36-40
16/10/2022;50.18;2220PC-005510E;50-60
16/10/2022;56.59;2220PC-005510E;50-60
16/10/2022;99.29;2220PC-005510E;50-60
12/10/2022;9.61;2220PC-00551C;41-50
10/10/2022;74.74;2220PC-00551E;70-80
10/10/2022;50.18;2220PC-00551E;60-70
10/10/2022;87.55;2220PC-00552E;70-80
13/10/2022;50.18;2220PC-00554E;60-70
13/10/2022;51.25;2220PC-00555E;40-50
13/10/2022;53.38;2220PC-00555E;60-70
15/10/2022;9.61;2220PC-00556C;41-50
15/10/2022;53.38;2220PC-00557E;50-60
15/10/2022;50.18;2220PC-00557E;50-60
16/10/2022;9.61;2220PC-00558C;41-50
16/10/2022;9.61;2220PC-00559C;61-70
15/10/2022;80.08;2220PC-00762E;60-70
16/10/2022;53.38;2220PC-00764E;50-60
16/10/2022;53.38;2220PC-00764E;40-50
16/10/2022;53.38;2220PC-00764E;50-60
16/10/2022;50.18;2220PC-00764E;50-60
17/10/2022;59.79;2220PC-00765E;40-50
17/10/2022;60.86;2220PC-00765E;40-50
17/10/2022;50.18;2220PC-00765E;40-50
17/10/2022;56.59;2220PC-00765E;40-50
18/10/2022;58.72;2220PC-00951C;61-70
16/10/2022;53.38;2220PC-00951E;60-70
16/10/2022;51.25;2220PC-00951E;60-70
16/10/2022;50.18;2220PC-00951E;70-80
17/10/2022;84.35;2220PC-009610E;80-100
17/10/2022;99.29;2220PC-009610E;70-80
17/10/2022;74.74;2220PC-009611E;80-100
17/10/2022;99.29;2220PC-009611E;70-80
17/10/2022;50.18;2220PC-009612E;50-60
17/10/2022;50.18;2220PC-009612E;50-60
19/10/2022;50.18;2220PC-009613C;36-40
20/10/2022;58.72;2220PC-009614C;61-70
18/10/2022;51.25;2220PC-009614E;50-60
18/10/2022;50.18;2220PC-009614E;50-60
18/10/2022;53.38;2220PC-009614E;50-60
18/10/2022;50.18;2220PC-009614E;50-60
18/10/2022;50.18;2220PC-009614E;50-60
18/10/2022;50.18;2220PC-009614E;50-60
20/10/2022;53.38;2220PC-009615E;80-100
20/10/2022;50.18;2220PC-009615E;70-80
20/10/2022;53.38;2220PC-009616E;100-120
20/10/2022;64.06;2220PC-009616E;80-100
12/10/2022;50.18;2220PC-00961C;61-70
10/10/2022;52.32;2220PC-00961E;80-100
10/10/2022;74.74;2220PC-00961E;70-80
12/10/2022;99.29;2220PC-00962C;61-70
10/10/2022;50.18;2220PC-00962E;70-80
11/10/2022;55.52;2220PC-00963E;60-70
11/10/2022;50.18;2220PC-00966E;60-70
14/10/2022;99.29;2220PC-00967C;51-60
15/10/2022;99.29;2220PC-00968C;51-60
13/10/2022;50.18;2220PC-00968E;70-80
16/10/2022;69.4;2220PC-00969E;80-100
14/10/2022;50.18;2220PC-01011E;70-80
14/10/2022;58.72;2220PC-01011E;60-70
14/10/2022;64.06;2220PC-01011E;50-60
14/10/2022;50.18;2220PC-01012E;40-50
14/10/2022;50.18;2220PC-01012E;50-60
14/10/2022;51.25;2220PC-01012E;40-50
15/10/2022;99.29;2220PC-01013E;70-80
15/10/2022;89.68;2220PC-01013E;60-70
18/10/2022;58.72;2220PC-01015C;36-40
16/10/2022;54.45;2220PC-01015E;60-70
10/10/2022;64.06;2220PC-01271E;50-60
10/10/2022;93.95;2220PC-01271E;50-60
13/10/2022;64.06;2220PC-01273E;60-70
14/10/2022;50.18;2220PC-01274E;40-50
14/10/2022;99.29;2220PC-01274E;50-60
22/10/2022;74.74;2220PC-01275C;61-70
20/10/2022;50.18;2220PC-01275E;100-120
20/10/2022;55.52;2220PC-01275E;80-100
20/10/2022;53.38;2220PC-01275E;80-100
16/10/2022;50.18;2220PC-015610E;70-80
16/10/2022;50.18;2220PC-015611E;60-70
16/10/2022;59.79;2220PC-015612E;60-70
16/10/2022;50.18;2220PC-015612E;60-70
20/10/2022;64.06;2220PC-015613C;61-70
20/10/2022;64.06;2220PC-015614E;70-80
20/10/2022;53.38;2220PC-015614E;70-80
20/10/2022;50.18;2220PC-015614E;70-80
20/10/2022;50.18;2220PC-015614E;70-80
10/10/2022;64.06;2220PC-01561E;50-60
10/10/2022;50.18;2220PC-01561E;60-70
10/10/2022;53.38;2220PC-01561E;50-60
10/10/2022;52.32;2220PC-01562E;50-60
10/10/2022;53.38;2220PC-01562E;60-70
10/10/2022;50.18;2220PC-01562E;60-70
10/10/2022;50.18;2220PC-01562E;50-60
15/10/2022;74.74;2220PC-01563C;51-60
11/10/2022;50.18;2220PC-01563E;60-70
11/10/2022;51.25;2220PC-01564E;50-60
11/10/2022;50.18;2220PC-01564E;40-50
12/10/2022;50.18;2220PC-01565E;50-60
12/10/2022;51.25;2220PC-01565E;50-60
12/10/2022;50.18;2220PC-01565E;50-60
13/10/2022;50.18;2220PC-01566E;60-70
14/10/2022;53.38;2220PC-01567E;70-80
15/10/2022;85.41;2220PC-01568E;70-80
15/10/2022;50.18;2220PC-01568E;70-80
15/10/2022;64.06;2220PC-01568E;70-80
15/10/2022;50.18;2220PC-01569E;70-80
11/10/2022;50.18;2220PC-01631E;50-60
11/10/2022;50.18;2220PC-01631E;70-80
10/10/2022;53.38;2220PC-01631E;60-70
12/10/2022;50.18;2220PC-01632E;50-60
15/10/2022;57.65;2220PC-01633C;51-60
15/10/2022;64.06;2220PC-01633C;51-60
12/10/2022;50.18;2220PC-01633E;60-70
13/10/2022;85.41;2220PC-01633E;70-80
13/10/2022;51.25;2220PC-01634E;60-70
14/10/2022;50.18;2220PC-01634E;70-80
13/10/2022;52.32;2220PC-01634E;60-70
14/10/2022;50.18;2220PC-01635E;60-70
18/10/2022;72.6;2220PC-01636C;61-70
17/10/2022;50.18;2220PC-01636E;60-70
17/10/2022;53.38;2220PC-01636E;70-80
18/10/2022;50.18;2220PC-01638E;70-80
18/10/2022;53.38;2220PC-01638E;80-100
19/10/2022;53.38;2220PC-01639E;50-60
19/10/2022;64.06;2220PC-01639E;50-60
19/10/2022;51.25;2220PC-01639E;50-60
19/10/2022;96.09;2220PC-01639E;50-60
16/10/2022;53.38;2220PC-01731E;80-100
20/10/2022;64.06;2220PC-01732C;51-60
14/10/2022;74.74;2220PC-02011C;51-60
12/10/2022;74.74;2220PC-02011E;60-70
13/10/2022;41.64;2220PC-02012E;60-70
13/10/2022;57.65;2220PC-02012E;60-70
13/10/2022;50.18;2220PC-02012E;60-70
13/10/2022;85.41;2220PC-02012E;70-80
13/10/2022;53.38;2220PC-02013E;50-60
13/10/2022;50.18;2220PC-02013E;60-70
13/10/2022;51.25;2220PC-02131E;60-70
13/10/2022;51.25;2220PC-02131E;60-70
13/10/2022;50.18;2220PC-02131E;60-70
19/10/2022;9.61;2220PC-02132C;61-70
21/10/2022;59.79;2220PC-02134C;61-70
20/10/2022;50.18;2220PC-02134E;70-80
21/10/2022;64.06;2220PC-02135C;51-60
21/10/2022;9.61;2220PC-02136C;61-70
21/10/2022;10.68;2220PC-02137C;XSBKN
09/10/2022;96.09;2220PC-02171E;50-60
12/10/2022;85.41;2220PC-02172C;61-70
11/10/2022;50.18;2220PC-02172E;80-100
11/10/2022;85.41;2220PC-02173E;100-120
11/10/2022;50.18;2220PC-02174E;50-60
11/10/2022;71.53;2220PC-02174E;40-50
11/10/2022;99.29;2220PC-02174E;50-60
12/10/2022;99.29;2220PC-02175E;80-100
11/10/2022;99.29;2220PC-02175E;70-80
11/10/2022;64.06;2220PC-02176E;50-60
14/10/2022;53.38;2220PC-02177E;60-70
14/10/2022;50.18;2220PC-02177E;60-70
14/10/2022;53.38;2220PC-02177E;60-70
14/10/2022;50.18;2220PC-02177E;60-70
21/10/2022;74.74;2220PC-02353C;61-70
20/10/2022;50.18;2220PC-023810E;70-80
20/10/2022;50.18;2220PC-023810E;70-80
14/10/2022;99.29;2220PC-02381E;60-70
14/10/2022;53.38;2220PC-02382E;70-80
19/10/2022;50.18;2220PC-02383E;70-80
19/10/2022;50.18;2220PC-02383E;60-70
19/10/2022;50.18;2220PC-02384E;60-70
19/10/2022;50.18;2220PC-02384E;60-70
19/10/2022;65.13;2220PC-02384E;60-70
19/10/2022;93.95;2220PC-02384E;60-70
19/10/2022;64.06;2220PC-02385C;61-70
20/10/2022;50.18;2220PC-02386E;70-80
20/10/2022;38.44;2220PC-02389C;61-70
20/10/2022;42.71;2220PC-02389C;61-70
19/10/2022;50.18;2220PC-02531C;61-70
17/10/2022;50.18;2220PC-02531E;60-70
17/10/2022;96.09;2220PC-02531E;80-100
17/10/2022;53.38;2220PC-02531E;80-100
17/10/2022;50.18;2220PC-02531E;70-80
17/10/2022;50.18;2220PC-02531E;70-80
20/10/2022;74.74;2220PC-02532E;80-100
21/10/2022;50.18;2220PC-02533E;60-70
11/10/2022;99.29;2220PC-03251C;61-70
10/10/2022;53.38;2220PC-03251E;50-60
10/10/2022;50.18;2220PC-03251E;60-70
10/10/2022;51.25;2220PC-03251E;60-70
13/10/2022;53.38;2220PC-03252E;60-70
14/10/2022;90.75;2220PC-03253E;80-100
19/10/2022;50.18;2220PC-03255E;100-120
19/10/2022;74.74;2220PC-03255E;100-120
12/10/2022;50.18;2220PC-03282E;50-60
12/10/2022;52.32;2220PC-03284E;60-70
12/10/2022;50.18;2220PC-03284E;60-70
13/10/2022;53.38;2220PC-03285E;70-80
13/10/2022;50.18;2220PC-03285E;70-80
13/10/2022;50.18;2220PC-03287E;80-100
14/10/2022;50.18;2220PC-03288E;50-60
21/10/2022;55.52;2220PC-03289C;61-70
12/10/2022;52.32;2220PC-034110E;60-70
12/10/2022;50.18;2220PC-034110E;60-70
12/10/2022;55.52;2220PC-034110E;60-70
12/10/2022;50.18;2220PC-034111E;60-70
12/10/2022;50.18;2220PC-034111E;50-60
12/10/2022;51.25;2220PC-034111E;50-60
12/10/2022;52.32;2220PC-034112E;50-60
12/10/2022;50.18;2220PC-034112E;40-50
12/10/2022;42.71;2220PC-034112E;50-60
12/10/2022;50.18;2220PC-034112E;40-50
13/10/2022;53.38;2220PC-034113E;50-60
13/10/2022;50.18;2220PC-034113E;50-60
13/10/2022;50.18;2220PC-034114E;50-60
14/10/2022;50.18;2220PC-034114E;50-60
14/10/2022;58.72;2220PC-034115E;60-70
13/10/2022;50.18;2220PC-034115E;50-60
13/10/2022;74.74;2220PC-034115E;60-70
14/10/2022;99.29;2220PC-034117E;70-80
15/10/2022;73.67;2220PC-034117E;70-80
15/10/2022;80.08;2220PC-034117E;60-70
15/10/2022;50.18;2220PC-034118E;50-60
14/10/2022;85.41;2220PC-034118E;50-60
14/10/2022;50.18;2220PC-034119E;60-70
11/10/2022;99.29;2220PC-03411C;51-60
10/10/2022;51.25;2220PC-03411E;70-80
10/10/2022;53.38;2220PC-03411E;80-100
10/10/2022;51.25;2220PC-03411E;70-80
17/10/2022;74.74;2220PC-034120C;61-70
15/10/2022;99.29;2220PC-034121E;40-50
15/10/2022;53.38;2220PC-034121E;50-60
15/10/2022;50.18;2220PC-034121E;50-60
16/10/2022;74.74;2220PC-034122E;80-100
18/10/2022;96.09;2220PC-034123C;51-60
16/10/2022;53.38;2220PC-034123E;70-80
16/10/2022;50.18;2220PC-034123E;70-80
16/10/2022;50.18;2220PC-034123E;70-80
11/10/2022;53.38;2220PC-03412E;60-70
11/10/2022;58.72;2220PC-03412E;50-60
